iteration,c1,c4,m2,cost
0,0.1,0.08,21.0,11.472247383029819
1,0.13665012294340975,0.10431331254012302,26.2276076566262,0.6105209366540962
2,0.13937102256794429,0.1203793302344846,27.827242168586306,0.002976768592506489
3,0.1400004587191914,0.12000486950115988,27.998062970727627,4.2731669173049355e-07
